English,Estonian,Source,Domain,Definition_Short,Link
self-compassion,enesekaastunne,eki_skt,psychology/therapy,"oma eksimuste suhtes andestav olemine, forgiving oneself for mistakes",https://sonaveeb.ee/search/unif/dlall/skt/self-compassion
self-directedness,eluterve endast lähtumine,eki_skt,psychology/therapy,"eeldus, et iseendale olulised väärtused on tähtsad vajaduseta teistelt heakskiitu pälvida, valuing what matters to oneself without the need of having ...",https://sonaveeb.ee/search/unif/dlall/skt/self-directedness
self-invalidation,enese invalideerimine,eki_dkt,psychology/therapy,"reageerimine iseenda kogemusele viisil, mis annab inimesele tagasiside, et tema kogemus ei ole loogiline, mõistetav ega oluline",https://sonaveeb.ee/search/unif/dlall/dkt/self-invalidation
self-respect effectiveness,tõhusus eneseväärikuses,eki_dkt,psychology/therapy,"üks võimalik eesmärk suhtlemisolukordades: eneseaustuse säilitaminevõi parandamine ning oma väärtuste ja tõekspidamiste järgimine, püüdes samal ajal s...",https://sonaveeb.ee/search/unif/dlall/dkt/self-respect%20effectiveness
self-sacrifice,(no ET term),eki_skt,psychology/therapy,"eeldus, et teiste vajaduste rahuldamisele on oluline keskenduda kasvõi iseenda vajaduste rahuldamise arvelt vältimaks teistele valu või kannatuste põh...",https://sonaveeb.ee/search/unif/dlall/skt/self-sacrifice
self-soothing through the senses,enese rahustamine viie meelega,eki_dkt,psychology/therapy,"Enese rahustamine on DKT oskus, mille sisuks on enda suhtes toetav, hoidev, rahutegev, õrn ja teadlikult lahke käitumine. Ennast rahustavad tegevused ...",https://sonaveeb.ee/search/unif/dlall/dkt/self-soothing%20through%20the%20senses
sense of identity,identiteeditunne,eki_skt,psychology/therapy,"baasiline emotsionaalne vajadus autonoomia, kompetentsus- ja identiteeditunde järele, mis sisaldab võimalust sooritada iseseisvalt eakohaseid ülesande...",https://sonaveeb.ee/search/unif/dlall/skt/sense%20of%20identity
service user,teenuse saaja,eki_TAI,health,"tervishoiu osapool isiku rollis; keegi, kes tahab saada, saab või on saanud tervishoiusüsteemis teenust, healthcare actor with a person role; who seek...",https://sonaveeb.ee/search/unif/dlall/TAI/service%20user
shame,häbi,eki_skt,psychology/therapy,"hingepiin, kahetsus või piinlikkus, mille on tinginud sobimatu käitumine, ebaväärikas tegu, alandav olukord vms",https://sonaveeb.ee/search/unif/dlall/skt/shame
shaping,(no ET term),eki_dkt,psychology/therapy,producing flat surfaces using single-point tools; the work is held in a vice or fixture or is clamped directly to the table; the ram supporting the to...,https://sonaveeb.ee/search/unif/dlall/dkt/shaping
shelter,(no ET term),eki_TAI,health,"koht või ehitis, mis sobib öömajaks, kaitseb vihma, tuule vms eest",https://sonaveeb.ee/search/unif/dlall/TAI/shelter
shelter service,varjupaigateenus,eki_TAI,health,"sotsiaalteenuse raames ajutise turvalise ööbimiskoha pakkumine inimesele, kes pole ise võimeline ööbimiskohta leidma",https://sonaveeb.ee/search/unif/dlall/TAI/shelter%20service
short-term effect,lühiajaline mõju,eki_TAI,health,"mõju, mis kestab lühikest aega, Nt lühikest aega kestev kampaania mõju tervisekäitumisele",https://sonaveeb.ee/search/unif/dlall/TAI/short-term%20effect
site,(no ET term),eki_TAI,health,"kinnisasi või loodusobjekt, millel on arheoloogiline väärtus",https://sonaveeb.ee/search/unif/dlall/TAI/site
site-specific cancer registry,paikmepõhine vähiregister,eki_TAI,health,"vähiregistri eritüüp, mis peab arvestust konkreetse kasvaja esinemise ja ravi üle ning mille põhieesmärk on mõõta diagnostika ja ravi kvaliteeti ning ...",https://sonaveeb.ee/search/unif/dlall/TAI/site-specific%20cancer%20registry
skill,oskus,eki_dkt,psychology/therapy,"õppimise ja harjutamise teel omandatud asjatundlikkus milleski, võime, osavus millekski, mingil alal",https://sonaveeb.ee/search/unif/dlall/dkt/skill
skillful means,(no ET term),eki_dkt,psychology/therapy,"budismis, eriti mahajaanas, bodhisattvaid iseloomustav võime, mis tähendab ka tarkust v vilumust vahendite valdamisel, oskust vahendeid valida",https://sonaveeb.ee/search/unif/dlall/dkt/skillful%20means
skills trainer,(no ET term),eki_dkt,psychology/therapy,"üks kahest grupiviisilise oskuste õppe läbiviijatest, kelle ülesanne on juhtida kohtumiste alustamise, koduse harjutamise ülevaatamise ning uute oskus...",https://sonaveeb.ee/search/unif/dlall/dkt/skills%20trainer
skills training,oskuste treening,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia komponent, struktureeritud psühhohariduslik sekkumine, mille käigus õpitakse teadveloleku, emotsiooniregulatsiooni, stre...",https://sonaveeb.ee/search/unif/dlall/dkt/skills%20training
social assistance,(no ET term),eki_TAI,health,vajaduspõhine abi või tugi raskes sotsiaalses või majanduslikus olukorras inimesele,https://sonaveeb.ee/search/unif/dlall/TAI/social%20assistance
social belonging,sotsiaalne kokkukuuluvus,eki_skt,psychology/therapy,"eeldus, et ollakse teistega seotud ja nende poolt aktsepteeritud, feeling of acceptance by and connection to others",https://sonaveeb.ee/search/unif/dlall/skt/social%20belonging
social exclusion,(no ET term),eki_TAI,health,"Seisund, milles inimene tajub end ühiskonnast väljaarvatuna. Haakub näiteks kihistumisega",https://sonaveeb.ee/search/unif/dlall/TAI/social%20exclusion
social inclusion,(no ET term),eki_TAI,health,"in the EU context, a framework for national strategy development, as well as for policy coordination between the Member States, on issues relating to ...",https://sonaveeb.ee/search/unif/dlall/TAI/social%20inclusion
social Isolation,sotsiaalne isoleeritus,eki_skt,psychology/therapy,"eeldus, et ollakse muust maailmast isoleeritud, teistest erinev sel määral, et ei kuuluta ühtegi gruppi või kogukonda, the feeling that one is isolate...",https://sonaveeb.ee/search/unif/dlall/skt/social%20Isolation
social service,(no ET term),eki_TAI,health,isiku või perekonna toimetulekut soodustav mitterahaline toetus,https://sonaveeb.ee/search/unif/dlall/TAI/social%20service
social services,hoolekandeteenus,eki_TAI,health,"inimese või perekonna toimetuleku soodustamiseks antav mitterahaline abi, nt tugiisikuteenus, koduteenus, sotsiaalnõustamine jm",https://sonaveeb.ee/search/unif/dlall/TAI/social%20services
solid tumour,soliidkasvaja,eki_TAI,health,konkreetsest elundist alguse saanud kasvaja,https://sonaveeb.ee/search/unif/dlall/TAI/solid%20tumour
special care,erihoolekanne,eki_TAI,health,"sotsiaalhoolekande valdkond, kus toetatakse täisealise psüühilise erivajadusega inimese täisväärtuslikku ja võimalikult iseseisvat võimetekohast ühisk...",https://sonaveeb.ee/search/unif/dlall/TAI/special%20care
special care foster family,(no ET term),eki_TAI,health,"hoolduspere, kus kasvatatakse erivajadusega last",https://sonaveeb.ee/search/unif/dlall/TAI/special%20care%20foster%20family
special care service,erihoolekandeteenus,eki_TAI,health,"psüühilise erivajadusega täiskasvanu toetamine ja abistamine, et ta saaks ühiskonnaelus võimalikult iseseisvalt ja täisväärtuslikult osaleda",https://sonaveeb.ee/search/unif/dlall/TAI/special%20care%20service
special needs,(no ET term),eki_TAI,health,"inimese võimetest, terviseseisundist, keele- ja kultuuritaustast ning teda ümbritseva keskkonna ja ühiskonna koosmõjust tingitud spetsiifiline vajadus...",https://sonaveeb.ee/search/unif/dlall/TAI/special%20needs
special needs foster family,(no ET term),eki_TAI,health,"hoolduspere, kus kasvatatakse erivajadusega last",https://sonaveeb.ee/search/unif/dlall/TAI/special%20needs%20foster%20family
specific birth rate,(no ET term),eki_TAI,health,aasta jooksul elusalt sündinud laste arv fertiilses eas naiste aastakeskmise arvu kohta,https://sonaveeb.ee/search/unif/dlall/TAI/specific%20birth%20rate
spiritual perspective,spirituaalne vaade,eki_dkt,psychology/therapy,"Elu ja kogemuste sügavam tähenduslik või vaimne tõlgendus, mis võib sisaldada religioosseid või filosoofilisi tõekspidamisi või praktikaid.",https://sonaveeb.ee/search/unif/dlall/dkt/spiritual%20perspective
Spontaneity and play,spontaansus ja mäng,eki_skt,psychology/therapy,"baasiline emotsionaalne vajadus olla spontaanne ja mängida, Having the opportunity to learn through play and enjoyable activities",https://sonaveeb.ee/search/unif/dlall/skt/Spontaneity%20and%20play
spontaneous abortion,(no ET term),eki_TAI,health,iseeneslik raseduse katkemine enne 22. rasedusnädalat,https://sonaveeb.ee/search/unif/dlall/TAI/spontaneous%20abortion
stable attachment,kindel kiindumussuhe,eki_skt,psychology/therapy,"võime usaldada teisi ja kindlus (lähi)suhete püsivuse suhtes, confidence that (close) relationships will maintain and ability to trust others",https://sonaveeb.ee/search/unif/dlall/skt/stable%20attachment
stage,(no ET term),eki_dkt,psychology/therapy,"vaheaste või järk teatava protsessi, sündmuse arengus, suhteliselt iseseisev, piiritletud osa sarjast, kursusest, tsüklist vm",https://sonaveeb.ee/search/unif/dlall/dkt/stage
stand-alone skills training,eraldiseisev oskuste treening,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia selline vorm, mille käigus pakutakse osalejale üksnes oskuste treeningus osalemist",https://sonaveeb.ee/search/unif/dlall/dkt/stand-alone%20skills%20training
standardize,(no ET term),eki_TAI,health,"teatud standardile kohandama, nt vanuse, soo järgi",https://sonaveeb.ee/search/unif/dlall/TAI/standardize
standardized mortality rate,(no ET term),eki_TAI,health,"Standarditud suremuskordaja – rahvastiku suremuse võrdlemiseks kasutatav suhtarv, mis kõrvaldab rahvastiku soo-vanuskoosseisu erinevuse mõju. Arvutatu...",https://sonaveeb.ee/search/unif/dlall/TAI/standardized%20mortality%20rate
states of mind,meeleseisundid,eki_dkt,psychology/therapy,"Kolm erinevat meeleseisundit DKT-s: emotsionaalne meel, ratsionaalne meel ja tark meel.",https://sonaveeb.ee/search/unif/dlall/dkt/states%20of%20mind
stillbirth rate,surnultsündimuskordaja,eki_TAI,health,alates 22. täisrasedusnädalast surnult sündinud laste arv kõikide sündide kohta teatud ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/stillbirth%20rate
STOP,oskus STOP,eki_dkt,psychology/therapy,"DKT kriisis ellujäämise oskus, mis aitab säilitada kontrolli olukorras, kus emotsionaalne meel kipub üle võtma ja reaktsioonid impulsiivseks muutuma. ...",https://sonaveeb.ee/search/unif/dlall/dkt/STOP
subject of care,(no ET term),eki_TAI,health,"tervishoiu osapool isiku rollis; keegi, kes tahab saada, saab või on saanud tervishoiusüsteemis teenust, healthcare actor with a person role; who seek...",https://sonaveeb.ee/search/unif/dlall/TAI/subject%20of%20care
subject of healthcare,(no ET term),eki_TAI,health,"tervishoiu osapool isiku rollis; keegi, kes tahab saada, saab või on saanud tervishoiusüsteemis teenust, healthcare actor with a person role; who seek...",https://sonaveeb.ee/search/unif/dlall/TAI/subject%20of%20healthcare
subjective well-being,subjektiivne heaolu,eki_TAI,health,"inimese hinnang oma heaolu või selle eri aspektide kohta, Nt hinnang turvatundele, eluga rahulolule, tervisele ja suhetele lähedastega",https://sonaveeb.ee/search/unif/dlall/TAI/subjective%20well-being
subjugation,allutatus,eki_skt,psychology/therapy,"eeldus, et iseenda soovid, arvamused ja tunded ei ole teiste silmis õigustatud või olulised ning sellest tulenevalt allutatakse end teistele vältimaks...",https://sonaveeb.ee/search/unif/dlall/skt/subjugation
substitute care,(no ET term),eki_TAI,health,"sotsiaalhoolekande valdkond, kus tegeldakse lapse eest hoolitsemisega väljaspool tema sünniperekonda. Asendushoolduse vormid on lapsendamine, eestkost...",https://sonaveeb.ee/search/unif/dlall/TAI/substitute%20care
substitute home,(no ET term),eki_TAI,health,"lapse elukoht, kus tema eest hoolitsevad vahetustega tööl käivad kasvatajad, asendushooldusteenuse pakkumise viis",https://sonaveeb.ee/search/unif/dlall/TAI/substitute%20home
success,(no ET term),eki_skt,psychology/therapy,"olukord, kui miski õnnestub, hästi läheb või edeneb, hrl soovitud, loodetud tulemuste poolest, sellega kaasnev menu, tunnustus",https://sonaveeb.ee/search/unif/dlall/skt/success
surrender,alistumine,eki_skt,psychology/therapy,"skeemiga toime tulemise viis, mis sisaldab aktiveerunud skeemile passiivset ja abitut allumist, a broad tendency to give in to the triggered schema or...",https://sonaveeb.ee/search/unif/dlall/skt/surrender
surrogacy,(no ET term),eki_TAI,health,"olukord, kus asendusema kannab rasedust ja sünnitab lapse paarile, kus naine ei ole võimeline sünnitama kaasasündinud emakaanomaalia, omandatud emakaa...",https://sonaveeb.ee/search/unif/dlall/TAI/surrogacy
target,(no ET term),eki_dkt,psychology/therapy,"ravieesmärk; käitumine, mida vähendada või käitumine, mille esinemise sagedust suurendada",https://sonaveeb.ee/search/unif/dlall/dkt/target
target group,(no ET term),eki_TAI,health,"nii individuaalsed kui ka rühmas muuseumikülastajad, kes kasutavad muuseumi teenuseid, muuseumi määratletud potentsiaalne publik",https://sonaveeb.ee/search/unif/dlall/TAI/target%20group
technical aid,(no ET term),eki_TAI,health,"toode, mis aitab parandada inimese funktsioneerimisvõimet, kompenseerida funktsioonihäiret ja saavutada või säilitada igapäevaeluga võimalikult isesei...",https://sonaveeb.ee/search/unif/dlall/TAI/technical%20aid
tertiary prevention,kolmandane ennetus,eki_TAI,health,"väljakujunenud probleemiga inimestele suunatud ennetus probleemi edasise süvenemise ja muude probleemide tekke vältimiseks, Nt diskrimineerimise äraho...",https://sonaveeb.ee/search/unif/dlall/TAI/tertiary%20prevention
therapeutic abortion,terapeutiline abort,eki_TAI,health,vähem kui 22 nädalat kestnud raseduse katkestamine emast või lootest tingitud meditsiinilisel põhjusel,https://sonaveeb.ee/search/unif/dlall/TAI/therapeutic%20abortion
therapeutic termination of pregnancy,(no ET term),eki_TAI,health,vähem kui 22 nädalat kestnud raseduse katkestamine emast või lootest tingitud meditsiinilisel põhjusel,https://sonaveeb.ee/search/unif/dlall/TAI/therapeutic%20termination%20of%20pregnancy
therapy-interfering behavior,teraapiat takistav käitumine,eki_dkt,psychology/therapy,"patsiendi ja/või terapeudi käitumine, mis vähendab teraapiaprotsessi efektiivsust",https://sonaveeb.ee/search/unif/dlall/dkt/therapy-interfering%20behavior
THINK,teise mõistmise oskused,eki_dkt,psychology/therapy,"suhtetõhususe oskuste kogumik, mis on Crick' ja Dodge'i sotsiaalse info töötlemise mudelist (1994) tulenev lisandus DKT-le: aitab harjutada teise inim...",https://sonaveeb.ee/search/unif/dlall/dkt/THINK
TIP skill,kehakeemia muutmine TIKK,eki_dkt,psychology/therapy,"Kehakeemia muutmine (TIKK: Temperatuuri langetamine, Intensiivne trenn, Kontrollitud hingamine; Kombineeritud lihaslõdvestus) on DKT kriisis ellujäämi...",https://sonaveeb.ee/search/unif/dlall/dkt/TIP%20skill
TNM stage,TNMi staadium,eki_TAI,health,"pahaloomulise kasvaja leviku ulatust määrav rühmitamise viis TNMi klassifikatsiooni järgi, kus T (tumor) märgib kasvaja algkolde suurust ja lokaalse l...",https://sonaveeb.ee/search/unif/dlall/TAI/TNM%20stage
TNM staging,(no ET term),eki_TAI,health,"pahaloomulise kasvaja leviku ulatust määrav rühmitamise viis TNMi klassifikatsiooni järgi, kus T (tumor) märgib kasvaja algkolde suurust ja lokaalse l...",https://sonaveeb.ee/search/unif/dlall/TAI/TNM%20staging
topography of tumour,kasvaja topograafia,eki_TAI,health,"kasvajalise koe paiknemine, sama mis paige, algkolle",https://sonaveeb.ee/search/unif/dlall/TAI/topography%20of%20tumour
transitional objects,üleminekuobjekt,eki_skt,psychology/therapy,"esemed, tegevused jm, mida kasutatakse teraapia protsessis, et märgistada ja võimaldada seotuse, hoituse ja olulisuse tunnete (taas)kogemist haavatava...",https://sonaveeb.ee/search/unif/dlall/skt/transitional%20objects
treatable death,(no ET term),eki_TAI,health,"surmajuht, mida saaks vältida teisese ennetuse meetmete (st pärast haiguse algust) ja raviga",https://sonaveeb.ee/search/unif/dlall/TAI/treatable%20death
treatment mode,ravi komponent,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia programmi osad: individuaalne psühhoteraapia, grupiviisiline oskuste treening, telefonikonsultatsioon ja konsultatsioon ...",https://sonaveeb.ee/search/unif/dlall/dkt/treatment%20mode
tumour,(no ET term),eki_TAI,health,haigusliku nähtusena tekkinud rakuline vohand,https://sonaveeb.ee/search/unif/dlall/TAI/tumour
tumour with local spread,lokaalselt levinud vähk,eki_TAI,health,koondmõiste naaberkudedesse levinud vähi ja piirkondlikesse lümfisõlmedesse metastaseerunud vähi kohta,https://sonaveeb.ee/search/unif/dlall/TAI/tumour%20with%20local%20spread
tumour with regional spread,regionaalselt levinud vähk,eki_TAI,health,piirkondlikesse lümfisõlmedesse leinud vähk,https://sonaveeb.ee/search/unif/dlall/TAI/tumour%20with%20regional%20spread
turning the mind,meele suunamine,eki_dkt,psychology/therapy,Meele suunamine on teadliku valiku tegemine tegelikkuse aktsepteerimise kasuks.,https://sonaveeb.ee/search/unif/dlall/dkt/turning%20the%20mind
underlying cause of death,surma algpõhjus,eki_TAI,health,"iseseisev haigus, tüsistus või vigastus, mis käivitas surmani viinud sündmuste ahela",https://sonaveeb.ee/search/unif/dlall/TAI/underlying%20cause%20of%20death
undernutrition,(no ET term),eki_TAI,health,"toiduenergia või toitainete puudusest tingitud seisund, mille tagajärjeks on kehamassi langus või funktsioonide halvenemine ning vähenenud kehaline võ...",https://sonaveeb.ee/search/unif/dlall/TAI/undernutrition
underweight,(no ET term),eki_TAI,health,"kehamass, mille juures kehamassiindeks (KMI) on kokkulepitud näitajast madalam, Täiskasvanut loetakse alakaaluliseks, kui tema KMI jääb alla 18,5, van...",https://sonaveeb.ee/search/unif/dlall/TAI/underweight
undeveloped self,(no ET term),eki_skt,psychology/therapy,ülemäärane emotsionaalne seotus ja lähedus ühe või enama olulise lähedasega (sageli vanematega) ootuspärase sotsiaalse arengu või täieliku iseseisvumi...,https://sonaveeb.ee/search/unif/dlall/skt/undeveloped%20self
undisciplined child mode,distsiplineerimata lapse olek,eki_skt,psychology/therapy,"lapse olek, milles ei suudeta taluda frustratsiooni ega sundida end lõpetama rutiinseid või igavaid ülesandeid ning selles olekus ei taluta rahulolema...",https://sonaveeb.ee/search/unif/dlall/skt/undisciplined%20child%20mode
unfairness,tajutud ebaõiglus,eki_skt,psychology/therapy,"varane mittekohastumuslik skeem, mida iseloomustab maailma ja teiste tajumine moraalitu ja ebaõiglasena, vääritut, moraalselt ebaõiget ja -õiglast käi...",https://sonaveeb.ee/search/unif/dlall/skt/unfairness
unintended effect,(no ET term),eki_TAI,health,"mitteootuspärane mõju, Nt laste liikumisaktiivsuse suurendamine võib suurendada enesehinnangulist üksteisega arvestamist, kuid võib kaasa tuua ka last...",https://sonaveeb.ee/search/unif/dlall/TAI/unintended%20effect
universal prevention,universaalne ennetus,eki_TAI,health,"ennetus, mis on suunatud kõigile ega sõltu konkreetse probleemi kujunemise riskist, Nt laste sotsiaalse pädevuse arendamine, mis aitab vältida uimasti...",https://sonaveeb.ee/search/unif/dlall/TAI/universal%20prevention
unrelenting crisis,pidevad kriisid,eki_dkt,psychology/therapy,"tsükkel, kus probleemolukordadega toimetulekuks mittetõhusate toimetulekuviiside kasutamine soodustab järgnevate probleemolukordade, inteniivsete emot...",https://sonaveeb.ee/search/unif/dlall/dkt/unrelenting%20crisis
unrelenting standards,(no ET term),eki_skt,psychology/therapy,"eeldus, et peab vastama väga kõrgetele internaliseerunud sisemistele käitumise ja sooritusega seotud standarditele vältimaks (võimaliku) kriitika osal...",https://sonaveeb.ee/search/unif/dlall/skt/unrelenting%20standards
urge surfing,tungil surfamine,eki_dkt,psychology/therapy,"DKT kriisis ellujäämise oskus, alkoholi- ja uimastisõltuvuse tagasilanguste ennetamise strateegia, mis hõlmab tungi teadvelolevat vaatlemist ja kirjel...",https://sonaveeb.ee/search/unif/dlall/dkt/urge%20surfing
validation,(no ET term),eki_dkt,psychology/therapy,"the confirmation of the capabilities and performance of organizations, individuals, materiel or systems to meet defined standards or criteria, through...",https://sonaveeb.ee/search/unif/dlall/dkt/validation
victim support service,ohvriabiteenus,eki_kriis,crisis,"riiklikult koordineeritud psühhosotsiaalne abi ohvrile - kuriteo, vägivalla või kriisijuhtumi tõttu kahjustada saanud isikule või isikutele",https://sonaveeb.ee/search/unif/dlall/kriis/victim%20support%20service
vulnerability,(no ET term),eki_dkt,psychology/therapy,Näitab põhjaveekihi reostustundlikkust reostuse suhtes.,https://sonaveeb.ee/search/unif/dlall/dkt/vulnerability
vulnerability to harm or illness,haavatavus ohu või haigestumise suhtes,eki_skt,psychology/therapy,"eeldus, et enda või lähedasega on juhtumas katastroof, mille toimumist ei ole võimalik ära hoida, exaggerated fear that imminent catastrophe will stri...",https://sonaveeb.ee/search/unif/dlall/skt/vulnerability%20to%20harm%20or%20illness
vulnerable child mode,haavatava lapse olek,eki_skt,psychology/therapy,"lapse olek, milles kogetakse düsfoorilisi ja ärevaid tundeid, eelkõige hirmu, kurbust ja abitust vastusena ühe või mitme varase mittekohastumusliku sk...",https://sonaveeb.ee/search/unif/dlall/skt/vulnerable%20child%20mode
walking the middle path skills,kesktee oskused,eki_dkt,psychology/therapy,"noorukitele kohandatud dialektilise käitumisteraapia programmi oskuste treeningu moodul, mis keskendub sellele, milliseid dilemmasid tuleb ette peresu...",https://sonaveeb.ee/search/unif/dlall/dkt/walking%20the%20middle%20path%20skills
ward,(no ET term),eki_TAI,health,"kellegi hoole, juhatuse või eestkoste all olija",https://sonaveeb.ee/search/unif/dlall/TAI/ward
well-being,heaolu,eki_TAI,health,"jõukus, (aineline) kindlustatus, vajaduste rahuldatus, hea olukord või seisund",https://sonaveeb.ee/search/unif/dlall/TAI/well-being
willfulness,(no ET term),eki_dkt,psychology/therapy,"reaalsuse faktide, probleemide ning nende lahendamiseks tõhusate strateegiate vältimine",https://sonaveeb.ee/search/unif/dlall/dkt/willfulness
willing hands,avatud käed,eki_dkt,psychology/therapy,"Avatud käed on füüsiline hoiak, kus käed on rusikast lahti, peopesad ülespoole suunatud ning sõrmed lõdvestunud, väljendades kehaga tegelikkuse aktsep...",https://sonaveeb.ee/search/unif/dlall/dkt/willing%20hands
willingness,(no ET term),eki_dkt,psychology/therapy,"Valmisolek on valmidus reageerida eluolukordadele targalt, vajaduspõhiselt, vabatahtlikult ja vimma pidamata.",https://sonaveeb.ee/search/unif/dlall/dkt/willingness
wise mind,tark meel,eki_dkt,psychology/therapy,"Üks kolmest meeleseisundist DKT-s, ratsionaalse ja emotsionaalse meele süntees, mis võimaldab teha tasakaalukaid otsuseid, mis arvestavad nii fakte ku...",https://sonaveeb.ee/search/unif/dlall/dkt/wise%20mind
wise mind ACCEPTS,tark meel peab TOETAMA,eki_dkt,psychology/therapy,"DKT kriisis ellujäämise oskus, mis seisneb tähelepanu eemalejuhtimises valusalt emotsioonilt või stressisündmuselt, et vältida ohtlikke käitumisi ja v...",https://sonaveeb.ee/search/unif/dlall/dkt/wise%20mind%20ACCEPTS
